NameCorp,Chapter,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,Voluntary,YearFiled,Date10k1Before,Sales1Before,EbitBefore,EbitCurrDollars,EbitdaBefore,Assets1Before,Liab1Before
A. M. Castle & Co.,11,F: Wholesale Trade,505,50 Wholesale Trade-durable Goods,5051,voluntary,2017,2016-12-31,533.15,-30.63,-37.1124986630197,-14.252,329.328,364.455
"A123 Systems, Inc.",11,D: Manufacturing,369,36 Electronic And Other Electrical Equipment And Components,3690,voluntary,2012,2011-12-31,159.147,-230.534,-295.792352477336,-203.63,625.902,329.537
aaiPharma Inc.,11,I: Services,873,"87 Engineering, Accounting, Research, Management, and Related Services",8734,voluntary,2005,2004-12-31,215.33,-35.869,-54.762405313786,-11.404,339.07,451.0
"ABC-NACO, Inc.",11,D: Manufacturing,346,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",3460,voluntary,2001,2000-12-31,482.2,-24.781,-41.389569257175,4.819,474.1,412.0
AbitibiBowater Inc.,11,D: Manufacturing,262,26 Paper and Allied Products,2621,voluntary,2009,2008-12-31,6771.0,-387.0,-538.745023452158,9.0,8072.0,8412.0
Accuride Corporation,11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2009,2008-12-31,931.409,32.189,44.1887078307123,78.187,808.55,882.0
Aceto Corporation,11,F: Wholesale Trade,512,51 Wholesale Trade-non-durable Goods,5122,voluntary,2019,2018-06-30,711.359,-17.187,-20.1801201023831,15.625,502.627,671.739
"Acme Metals, Incorporated",11,D: Manufacturing,331,33 Primary Metal Industries,3312,voluntary,1998,1997-12-28,488.03,-35.057,-63.5990979767726,4.353,829.0,643.0
"ACT Manufacturing, Inc.",11,D: Manufacturing,367,36 Electronic And Other Electrical Equipment And Components,3672,voluntary,2001,2000-12-31,1370.6,64.472,108.291432846633,80.389,1067.8,848.0
Acterna Corp.,11,D: Manufacturing,382,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",3825,voluntary,2003,2003-03-31,680.349,-96.24,-155.660726321526,-64.674,406.156,1249.0
Advanced Radio Telecom Corp.,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4812,voluntary,2001,2000-12-31,1.241,-65.912,-110.584985098926,-56.212,455.834,197.427
Advanta Corp.,11,"H: Finance, Insurance, And Real Estate",614,61 Non-depository Credit Institutions,6141,voluntary,2009,2008-12-31,488.749,-36.905,-50.6627811517114,-29.656,3585.045,3078.0
"Aeropostale, Inc.",11,G: Retail Trade,560,56 Apparel And Accessory Stores,5600,voluntary,2016,2016-01-30,1506.867,-125.827,-155.456152750084,-87.872,354.383,390.029
"AgriBioTech, Inc.",11,A: Agricultural Production Crops,100,01 Crops,100,voluntary,2000,1999-06-30,370.453,-25.639,-45.0804400651659,-14.409,342.129,133.0
Agway Inc.,11,D: Manufacturing,204,20 Food and Kindred Products,2040,voluntary,2002,2002-06-30,899.934,3.057,5.00445906784335,23.865,1574.4,1510.258
"Akorn, Inc.",11,D: Manufacturing,283,28 Chemicals and Allied Products,2834,voluntary,2020,2019-12-31,682.429,-50.559,-58.5261726990491,19.741,1288.639,1054.347
"Al Copeland Enterprises, Inc.",11,G: Retail Trade,581,58 Eating and Drinking Places,5812,involuntary,1991,1990-12-30,460.08,-8.298,-18.2161353994083,32.002,427.461,552.713
Alexanders Inc.,11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1992,1991-07-27,430.287,-19.4,-41.2159040801718,-12.29,188.057,86.763
"Allegheny International, Inc.",11,D: Manufacturing,363,36 Electronic And Other Electrical Equipment And Components,3634,voluntary,1988,1987-09-27,867.746305,-44.019,-112.626785715517,-26.509,850.488,878.471
Allegiance Telecom Inc.,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2003,2002-12-31,770.982,-356.489,-576.593273749319,-74.346,1441.2,1397.0
Alliance Entertainment Corp.,11,F: Wholesale Trade,509,50 Wholesale Trade-durable Goods,5099,voluntary,1997,1996-12-31,691.1,-13.209,-24.4261157196262,4.882,613.0,596.0
"Allied Holdings, Inc.",11,"E: Transportation, Communications, Electric, Gas",421,42 Motor Freight Transportation And Warehousing,4213,voluntary,2005,2004-12-31,895.213,-5.585,-8.48316911463664,37.358,421.0,463.0
Allied Nevada Gold Corp.,11,B: Mining,104,10 Metal Mining,1040,voluntary,2015,2014-12-31,310.425,-56.859,-71.4706593836159,5.236,941.238,663.68
Allied Products Corp.,11,D: Manufacturing,352,35 Industrial and Commercial Machinery and Computer Equipment,3523,voluntary,2000,1999-12-31,143.775,-26.299,-44.8589902471264,-21.011,256.611,214.0
Allis-Chalmers Corp.,11,D: Manufacturing,351,35 Industrial and Commercial Machinery and Computer Equipment,3511,voluntary,1987,1986-12-31,510.3,31.478,82.3134446343612,49.283,566.544,571.023
"Alpha Natural Resources, Inc.",11,B: Mining,122,12 Coal Mining,1221,voluntary,2015,2014-12-31,4287.078,-584.338,-727.730263121234,253.342,10736.148,7749.348
"Alta Mesa Resources, Inc. (Alta Mesa Holdings, LP)",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2019,2018-12-31,467.977,-2003.441,-2315.84979874902,-1088.764,1357.83,1141.703
Alterra HealthCare Corp,11,I: Services,830,83 Social Services,8300,voluntary,2003,2002-12-31,416.715,-1.684,-2.75072178315905,24.082,671.15,1153.946
"AM International, Inc. (1982)",11,D: Manufacturing,357,35 Industrial and Commercial Machinery and Computer Equipment,3579,voluntary,1982,1981-07-31,652.712,-25.751,-80.5355062908325,-11.544,546.213,532.443
"AM International, Inc. (1993)",11,F: Wholesale Trade,504,50 Wholesale Trade-durable Goods,5045,voluntary,1993,1992-07-31,618.746,-36.459,-75.0410667337032,-21.719,441.411,373.502
Amarex Inc.,11,B: Mining,131,13 Oil And Gas Extraction,1311,involuntary,1982,1982-04-30,52.905,20.829,63.3400073053279,31.713,397.874,347.325
"Ambac Financial Group, Inc.",11,"H: Finance, Insurance, And Real Estate",635,63 Insurance Carriers,6351,voluntary,2010,2009-12-31,3911.2,774.842,1051.04034713418,777.825,18886.4,20520.012
"AMCORE Financial, Inc.",11,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6021,voluntary,2010,2009-12-31,275.146,-131.528,-178.813422148118,-123.829,3777.23,3741.223
Amdura Corp.,11,F: Wholesale Trade,507,50 Wholesale Trade-durable Goods,5072,voluntary,1990,1989-12-31,156.715,-16.471,-37.9250844608223,-13.343,302.462,444.31
Amerco,11,I: Services,750,"75 Automotive Repair, Services, and Parking",7500,voluntary,2003,2003-03-31,2132.387,109.21,176.446381981492,257.224,3805.666,3478.218
America West Airlines Inc.,11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1991,1990-12-31,1315.804,-31.631,-69.0293081397059,45.872,1165.256,1144.115
"American Apparel, Inc. (2015)",11,"H: Finance, Insurance, And Real Estate",677,67 Holding And Other Investment Offices,6770,voluntary,2015,2014-12-31,608.891,-3.712,-4.63218856532598,22.185,294.389,409.905
"American Business Financial Services, Inc.",11,"H: Finance, Insurance, And Real Estate",616,61 Non-depository Credit Institutions,6162,voluntary,2005,2004-06-30,97.072,-111.584,-173.66437571054,-65.722,1042.87,1031.0
American Carriers Inc.,11,"E: Transportation, Communications, Electric, Gas",421,42 Motor Freight Transportation And Warehousing,4212,voluntary,1988,1987-12-31,472.447,-26.714,-66.6271853613445,-13.559,209.295,125.292
American Classic Voyages Co.,11,"E: Transportation, Communications, Electric, Gas",440,44 Water Transportation,4400,voluntary,2001,2000-12-31,221.0,-13.106,-21.8898226336522,3.263,752.6,479.0
American Commercial Lines LLC,11,"E: Transportation, Communications, Electric, Gas",440,44 Water Transportation,4400,voluntary,2003,2002-12-27,712.852,9.206,15.0374968739681,68.437,813.594,770.0
American Eco Corp.,11,I: Services,760,76 Miscellaneous Repair Services,7600,voluntary,2000,1999-11-30,258.077,-2.198,-3.7752303587963,3.624,236.924,191.0
"American Healthcare Management, Inc.",11,I: Services,806,80 Health Services,8062,voluntary,1987,1986-12-31,489.039,40.401,104.815520952797,59.653,518.26,493.171
American Home Mortgage Investment Corp.,11,"H: Finance, Insurance, And Real Estate",679,67 Holding And Other Investment Offices,6798,voluntary,2007,2006-12-31,1026.444,1494.195,2133.10530743146,1512.44,18828.985,17559.0
American Homestar Corp.,11,D: Manufacturing,245,"24 Lumber And Wood Products, Except Furniture",2452,voluntary,2001,2000-06-30,521.036,-4.633,-7.85300114791548,11.86,362.233,268.524
American Pad & Paper Company,11,D: Manufacturing,267,26 Paper and Allied Products,2670,involuntary,2000,1999-12-31,572.616,-7.981,-14.032801285545,12.175,472.228,533.0
American Plumbing & Mechanical Inc.,11,C: Construction,170,17 Construction Special Trade Contractors,1700,voluntary,2003,2002-12-31,574.849,7.303,11.7162621135135,12.553,265.622,247.856
"American Tissue, Inc.",11,D: Manufacturing,262,26 Paper and Allied Products,2621,voluntary,2001,2000-09-30,493.6,55.801,92.8859753056646,71.44,546.7,424.0
AmericanWest Bancorporation,11,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6022,voluntary,2010,2009-12-31,77.054,-28.557,-38.7526550059211,-21.338,1655.553,1636.0
Americold Corp.,11,"E: Transportation, Communications, Electric, Gas",422,42 Motor Freight Transportation And Warehousing,4220,voluntary,1995,1995-02-28,215.2,47.835,93.2804500328515,70.51,544.6,636.553
"Ames Department Stores, Inc. (1990)",11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1990,1990-01-27,2154.24,-109.819,-252.862294359969,-15.134,2270.943,1914.493
"Ames Department Stores, Inc. (2001)",11,G: Retail Trade,533,53 General Merchandise Stores,5331,voluntary,2001,2001-02-03,3953.6,-226.859,-379.329975340845,-152.17,1995.7,1599.0
Ampal-American Israel Corporation,11,"H: Finance, Insurance, And Real Estate",679,67 Holding And Other Investment Offices,6799,voluntary,2012,2011-12-31,575.339,-114.551,-147.575921186393,-88.915,846.609,796.643
AMR Corporation,11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,2011,2010-12-31,22170.0,308.0,404.073182159749,1303.0,25088.0,29033.0
"AMRESCO, Inc.",11,"H: Finance, Insurance, And Real Estate",628,"62 Security And Commodity Brokers, Dealers, Exchanges, And Services",6282,voluntary,2001,2000-12-31,170.657,27.486,45.9592244619718,44.768,715.035,549.0
"Anacomp, Inc.",11,D: Manufacturing,386,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",3861,voluntary,1996,1995-09-30,591.189,41.395,79.5719677137306,73.944,421.029,584.698
ANC Rental Corp.,11,I: Services,751,"75 Automotive Repair, Services, and Parking",7510,voluntary,2001,2000-12-31,3532.0,67.9,113.59930270575,1162.5,6537.6,5645.0
Anchor BanCorp Wisconsin Inc.,11,"H: Finance, Insurance, And Real Estate",603,60 Depository Institutions,6036,voluntary,2013,2013-03-31,145.783,42.748,54.2485073607067,45.827,2367.583,2427.447
Anchor Glass Container Corp. (1996),11,D: Manufacturing,322,"32 Stone, Clay, Glass, And Concrete Products",3221,voluntary,1996,1995-12-31,956.639,1.248,2.34729186311787,101.163,1208.348,918.745
Anchor Glass Container Corp. (2002),11,D: Manufacturing,322,"32 Stone, Clay, Glass, And Concrete Products",3221,voluntary,2002,2001-12-31,702.2,15.106,24.9355699777531,66.525,536.377,578.392
Anchor Glass Container Corporation (2005),11,D: Manufacturing,322,"32 Stone, Clay, Glass, And Concrete Products",3221,voluntary,2005,2004-12-31,746.858,11.066,16.722788197556,72.8,657.195,653.0
Angeles Corp.,11,"H: Finance, Insurance, And Real Estate",679,67 Holding And Other Investment Offices,6798,voluntary,1993,1992-06-30,46.582,5.596,11.5178641608877,11.763,290.919,262.29
"Anglo Energy, Ltd. (1983)",11,B: Mining,138,13 Oil And Gas Extraction,1381,voluntary,1983,1983-09-30,150.34,-7.802,-22.8815236561265,11.887,229.596,192.238
Apex Silver Mines Limited,11,B: Mining,104,10 Metal Mining,1040,voluntary,2009,2008-12-31,419.512,-638.278,-897.389841620085,-599.542,606.347,654.635
"Applied Extrusion Technologies, Inc.",11,D: Manufacturing,308,30 Rubber and Miscellaneous Plastics Products,3081,voluntary,2004,2004-09-30,265.541,13.915,21.7022083815029,36.646,407.496,413.288
Approach Resources Inc.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2019,2018-12-31,114.035,1.209,1.3950871395913,62.641,1084.647,495.402
APS Holding Corp.,11,F: Wholesale Trade,501,50 Wholesale Trade-durable Goods,5013,voluntary,1998,1998-01-31,812.9,-14.529,-26.6347351019148,-4.929,487.0,468.0
APW Ltd.,11,F: Wholesale Trade,506,50 Wholesale Trade-durable Goods,5065,voluntary,2002,2001-08-31,1267.7,-164.212,-271.065789566185,83.763,1303.844,888.088
"Arch Coal, Inc.",11,B: Mining,122,12 Coal Mining,1221,voluntary,2016,2015-12-31,2573.26,-2718.279,-3405.32953605075,-2305.254,5106.738,6351.027
